Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID
Pierre Laforest Chardonnay T 2015,85.42508737777777,Pierre Laforest,Roussillon,Roussillon,France,Chardonnay,2015,,White,5e6744bd6608c649531ba39e
Buried Cane,85.40483793846154,Buried Cane,Columbia Valley,,USA,Cabernet Sauvignon,2013,,Red,54d5082e7d1514030000002c
Taurasi Feudi di San Gregorio,85.35429773333333,Feudi di San Gregorio,Campania,,Italy,Aglianico,2010,,Red,5e94deef5fd8fd7ae861db3d
Grassini Family Vineyards Equipo Sauvignon Blanc,85.32822329999999,Grassini Family Vineyards,Santa Barbara,California,USA,Sauvignon Blanc,2013,,White,53c0598f2e0a2b020000001e
Mission Hill Five Vineyards Sauvignon Blanc 2015,85.18757863999998,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,Sauvignon Blanc,2015,,White,5e94df7b5fd8fd7ae861e935
Remole,85.13257863999999,Frescobaldi Toscana,Toscana,,Italy,"Sangiovese, Cabernet Sauvignon",2015,,White,5e94def25fd8fd7ae861db7d
Moon Curser Border Vines 2016,85.08456125714285,Moon Curser Vineyards,"Osoyoos, Okanagan Valley",,Canada,Cabernet Sauvignon,2016,,Red,5e94deed5fd8fd7ae861db01
Chateau Figeac,85.03763106666666,Chateau Figeac,Saint-Emilion,,France,"Cabernet Sauvignon, Cabernet Franc, Merlot",2003,,Red,53765cddfe9480020000001e
Chateau Montus Madiran,85.02327045714286,Brumont,Southwest France,,France,"Tannat, Cabernet Sauvignon",2011,,Red,5e94df1c5fd8fd7ae861dfaf
Josh Cabernet Sauvignon 2015,84.94309924444444,Josh Cellars,California,,USA,Cabernet Sauvignon,2015,,Red,5e94deef5fd8fd7ae861db2d
T.H. Terroir Hunter Cabernet Sauvignon,84.88064293333332,Undurraga,Maipo Valley,,Chile,Cabernet Sauvignon,2013,,Red,5731eea88878d3b73ddec59f
E,84.84779876363635,Locations Wine,"Priorat, Jumilla, Toro, Rioja & Ribera del Duero",,Spain,"Grenache, Tempranillo, Monastrell & Carignan",nv,,Red,5e94e597647e147bcfa8d891
Caymus Cabernet Sauvignon 2015,84.78763106666666,Caymus,Napa Valley,California,USA,Cabernet Sauvignon,2015,,Red,5ad77d38128caabb7db026ba
Chianti Classico Villa Calcinaia,84.7465409142857,Villa Calcinaia,Tuscany,,Italy,"90% Sangiovese, 10% Canaiolo",2014,,Red,5e94def05fd8fd7ae861db53
Bogle,84.71757864,Bogle Vineyards,California,,USA,Petite Syrah,2011,,Red,546bd80cf444730200000014
Joseph Phelps Insignia,84.71263106666665,Joseph Phelps Vineyards,Napa Valley,California,USA,"Cabernet Sauvignon, Petit Verdot, Merlot",2008,,Red,547270fc4c2174020000000e
Bollinger R. D.,84.63515728,Bollinger,Champagne,,France,"Pinot Noir, Chardonnay",2002,,Rose,544e2e81f29e440200000002
