Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID,Lat,Lng
Soul Shaker,89.50631553333334,Ascension Cellars,Central Coast,CA,USA,"Cabernet Sauvignon, Petit Verdot, Syrah, Merlot",2012,,Red,5564efe1b4f0c1030000009c,35.6208282,-120.661364
"Dalliance ""GSMv""",89.42197329999998,Ascension Cellars,Central Coast,CA,USA,"Grenache, Syrah, Mourvedre, Viognier",2011,,Red,5564efe1b4f0c1030000009b,35.6208282,-120.661364
Estate Show Pony Paso Robles Red Cedar Vineyard,88.99779876363634,Clayhouse Wines,San Luis Obispo,CA,USA,Petite Sirah,2012,,Red,5564efe1b4f0c10300000004,35.656393,-120.408467
"Ascendance ""Melange""",88.93964886666667,Ascension Cellars,Central Coast,CA,USA,"Cabernet Sauvignon, Merlot",2011,,Red,5564efe1b4f0c10300000036,35.6208282,-120.661364
Duca Bortini Vaporello 2014,88.18293612631581,Duca Bortini,Trentino,Trentino,Italy,"Lambrusco, Merlot",2014,,Red,5e673b734d42ee2d694c0703,46.0714742,11.1159792
Chateau Cailleteau Bergeron OZ de Cailleteau 2015,88.12197330000002,Chateau Cailleteau Bergeron,Blaye Cotes de Bordeaux,,France,Bordeaux Red Blend,2015,,Red,5e4c9868c2f8c4663fc3d28a,45.1624696,-0.6120095999999999
Mayhem,87.55257864000002,Ascension Cellars,Central Coast,CA,USA,"Syrah, Petit Syrah, Grenache",2011,,Red,5564efe1b4f0c10300000014,35.6208282,-120.661364
Duca Bortini Terre Siciliane Sangiovese 2018,87.47757864,Duca Bortini,Sicily,Sicily,Italy,Sangiovese,2018,,Red,5e67389b4d42ee2d694c0702,46.0714742,11.1159792
"Trinity ""GSM""",87.36796948571428,Ascension Cellars,Central Coast,CA,USA,"Grenache, Syrah, Mourvedre",2012,,Red,5564efe1b4f0c10300000057,35.6208282,-120.661364
Ethereal,87.34596440000001,Ascension Cellars,Central Coast,CA,USA,"Cabernet Sauvignon, Petite Verdot, Petite Sirah, Malbec",2011,,Red,5564efe1b4f0c1030000007a,35.6208282,-120.661364
